code,city,pref,area_type,trade_radius_km,total_pop,women_40plus,residential_ratio,pop_density,station_density,nearest_station_m,nearest_road_m,station_bonus,road_bonus,location_bonus,comp_in_radius,comp_penalty,barrier_factor,border_bonus,base_score,score_v2,score_v3,score_v4,rank_v3,rank_v4,rank_chg
14132,川崎市幸区,神奈川,超都心,1.0,171119,47969,0.0085,17141.3441,0.4007,666.0,445.0,1.0,1.0,1.0,2,0.7,1.0,1.0,129.7866,0.0,0.0,3.5,185.0,91.0,94
11408,寄居町,埼玉県,ロードサイド,5.0,32374,11300,0.4189,503.7499,0.14,626.0,746.0,1.0,1.15,1.15,0,1.0,1.3,1.0,60.2697,1.7,1.7,3.5,49.0,91.0,-42
14342,二宮町,神奈川,郊外住宅,3.0,27564,10087,0.224,3037.417,0.1102,1253.0,71.0,1.0,1.3,1.3,1,0.85,1.0,1.0,79.913,1.1,0.8,3.4,78.0,94.0,-16
12228,四街道市,千葉県,郊外住宅,3.0,93576,29635,0.1735,2712.232,0.058,1556.0,2605.0,1.0,0.85,0.85,3,0.55,1.0,1.0,181.8495,0.9,0.8,3.3,78.0,95.0,-17
14364,山北町,神奈川,ロードサイド,5.0,9761,3672,0.9139,43.457,0.0134,6602.0,240.0,1.0,1.3,1.3,0,1.0,1.5,1.0,42.7279,10.6,10.6,3.2,15.0,96.0,-81
13207,昭島市,東京都,都心住宅,2.0,113949,35578,0.0421,6562.8826,0.1728,703.0,781.0,1.0,1.0,1.0,2,0.7,1.0,1.0,119.1938,0.1,0.1,3.2,155.0,96.0,59
11227,朝霞市,埼玉県,都心住宅,2.0,141083,39419,0.0262,7707.7269,0.1639,1119.0,869.0,1.0,1.0,1.0,0,1.0,1.0,1.0,82.1858,0.2,0.2,3.2,137.0,96.0,41
13116,豊島区,東京都,超都心,1.0,301599,80453,0.008,23120.2218,2.2998,142.0,119.0,1.3,1.0,1.3,7,0.3,1.0,1.0,204.8719,0.0,0.0,3.1,185.0,99.0,86
13101,千代田区,東京都,都心住宅,2.0,66680,17789,0.1201,5824.955,4.7173,451.0,469.0,1.15,1.0,1.15,9,0.3,1.3,1.0,170.014,0.4,0.3,3.0,122.0,100.0,22
11365,小鹿野町,埼玉県,ロードサイド,5.0,10928,4084,0.8688,63.8056,0.0,8169.0,1250.0,1.0,0.85,0.85,0,1.0,1.95,1.0,45.1768,20.1,20.1,2.9,9.0,101.0,-92
13223,武蔵村山市,東京都,郊外住宅,3.0,70829,21929,0.1361,4607.8932,0.0,2496.0,86.0,1.0,1.3,1.3,3,0.55,1.0,1.0,105.5564,1.0,0.7,2.9,83.0,101.0,-18
14218,綾瀬市,神奈川,郊外住宅,3.0,83913,25738,0.0713,3788.8798,0.0,3196.0,402.0,1.0,1.3,1.3,1,0.85,1.0,1.0,64.9041,0.5,0.3,2.8,122.0,103.0,19
14203,平塚市,神奈川,郊外住宅,3.0,258422,82666,0.0483,3815.5847,0.0148,3716.0,469.0,1.0,1.3,1.3,4,0.4,1.0,1.0,141.2153,0.7,0.7,2.8,83.0,103.0,-20
11101,さいたま市西区,埼玉県,郊外住宅,3.0,93499,28604,0.0625,3216.4018,0.0688,1251.0,466.0,1.0,1.3,1.3,1,0.85,1.0,1.0,63.2287,0.6,0.6,2.7,94.0,105.0,-11
12236,香取市,千葉県,ロードサイド,5.0,72356,26352,0.1898,275.8679,0.0229,4522.0,4566.0,1.0,0.85,0.85,0,1.0,1.3,1.0,63.6825,3.1,3.1,2.7,40.0,105.0,-65
11102,さいたま市北区,埼玉県,超都心,1.0,149242,43567,0.0049,8833.6486,0.4143,409.0,21.0,1.15,1.0,1.15,1,0.85,1.0,1.0,67.9523,0.0,0.0,2.6,185.0,107.0,78
11201,川越市,埼玉県,郊外住宅,3.0,354571,100576,0.0302,3247.1351,0.1099,326.0,824.0,1.0,1.15,1.15,3,0.55,1.0,1.0,107.4259,0.2,0.1,2.6,155.0,107.0,48
11326,毛呂山町,埼玉県,ロードサイド,5.0,35366,11697,0.4738,1037.2567,0.1173,624.0,3589.0,1.0,0.85,0.85,1,0.85,1.3,1.0,70.5634,8.6,8.6,2.6,19.0,107.0,-88
