lat,lng,women_40plus
36.223958,140.146107,482
36.222711,140.175782,108
36.215184,140.160611,63
36.20358,140.155093,44
36.208357,140.169597,129
36.21258,140.183946,67
36.266735,140.183201,90
36.271295,140.172768,32
36.261485,140.171508,134
36.252124,140.175485,29
36.258186,140.170072,10
36.258598,140.155768,114
36.251413,140.170695,101
36.250599,140.163582,25
36.24175,140.172668,202
36.254848,140.149942,192
36.307397,140.17572,207
36.299032,140.163319,167
36.297336,140.21295,116
36.295859,140.204112,109
36.291087,140.190647,148
36.27533,140.213932,290
36.274529,140.191385,180
36.267503,140.22328,323
36.259232,140.20619,26
36.263266,140.200788,45
36.282611,140.197725,61
36.261306,140.231198,38
36.249779,140.254572,953
36.265474,140.241573,72
36.268477,140.256959,474
36.262574,140.285529,512
36.21565,140.220894,133
36.231482,140.229916,660
36.250461,140.227222,31
36.251917,140.211717,56
36.247102,140.207254,41
36.238,140.212222,99
36.200069,140.205119,162
36.211436,140.198125,194
36.202481,140.184068,114
36.198757,140.172331,36
36.195009,140.183021,29
36.190138,140.183154,15
36.186817,140.175913,61
36.191753,140.170303,25
36.184724,140.167617,6
36.191212,140.163925,46
36.191949,140.155802,10
36.205683,140.13605,26
36.28014,140.173059,19
36.191816,140.175509,4
36.298655,139.873345,16
36.295847,139.867968,17
36.291319,139.864867,766
36.29355,139.872323,165
36.287892,139.874438,217
36.288471,139.863003,126
36.289622,139.882155,8275
36.29976,139.866509,165
36.301101,139.867528,88
36.302811,139.858167,108
36.306682,139.892549,81
36.298425,139.862977,148
36.283769,139.846874,714
36.277771,139.850804,291
36.286683,139.897824,200
36.280024,139.904316,163
36.276831,139.880647,557
36.271463,139.888598,148
36.2689,139.896637,213
36.26348,139.871682,44
36.270225,139.857436,980
36.240115,139.890904,120
36.237386,139.876117,54
36.227448,139.87617,172
36.218586,139.883385,140
36.230747,139.884111,76
36.234321,139.896809,65
36.228274,139.891696,78
36.232647,139.862953,303
36.218967,139.859748,15
36.224132,139.859097,65
36.241287,139.82543,199
36.233883,139.829712,126
36.226139,139.821814,165
36.224457,139.831905,242
36.208897,139.825624,222
36.271274,139.846847,97
36.26158,139.841099,382
36.252613,139.856868,317
36.241398,139.842209,126
35.913296,140.189445,96
35.949719,140.211408,103
35.934308,140.248195,86
35.919374,140.15559,161
35.932719,140.222262,71
35.943883,140.237667,70
35.894527,140.152504,10
35.93457,140.20024,1279
35.929234,140.207305,884
35.925198,140.20774,100
35.943876,140.193847,480
35.905211,140.187537,313
35.913572,140.152156,1185
35.899733,140.200533,125
35.883132,140.156606,89
35.920666,140.239022,20
35.92673,140.131441,331
35.908593,140.181423,269
35.902808,140.186708,130
35.93102,140.141003,1043
35.960373,140.116972,1302
35.887536,140.192755,91
35.898514,140.190099,307
35.945056,140.136925,22
35.909948,140.194231,19
35.905094,140.183121,413
