code,fishery,manufacturing,agriculture,commerce,fishery_year,manufacturing_year,agriculture_year,commerce_year
22361,,1508.0,590.0,243.0,,2009100000,2006100000,2007100000
22381,,2812.0,380.0,1036.0,,2007100000,2006100000,2007100000
22382,,4294.0,170.0,1054.0,,2005100000,2005100000,2004100000
22383,,925.0,930.0,581.0,,2007100000,2006100000,2007100000
22401,,1518.0,1900.0,666.0,,2008100000,2006100000,2007100000
22402,,6494.0,1740.0,1454.0,,2007100000,2006100000,2007100000
22421,,977.0,1670.0,549.0,,2003100000,2003100000,2002100000
22422,,4952.0,7320.0,2041.0,,2004100000,2004100000,2004100000
22423,,5492.0,8110.0,1848.0,,2004100000,2004100000,2004100000
22424,,8838.0,1320.0,2046.0,,2023100000,2006100000,2021100000
22425,,2440.0,4630.0,1321.0,,2004100000,2004100000,2004100000
22426,,611.0,1380.0,464.0,,2007100000,2006100000,2007100000
22427,,448.0,1500.0,485.0,,2004100000,2004100000,2004100000
22428,,285.0,540.0,244.0,,2004100000,2004100000,2004100000
22429,,496.0,1840.0,370.0,,2023100000,2006100000,2021100000
22442,,2672.0,4960.0,871.0,,2004100000,2004100000,2004100000
22444,,2493.0,6010.0,1846.0,,2003100000,2003100000,2002100000
22445,,2275.0,3490.0,727.0,,2004100000,2004100000,2004100000
22446,,5845.0,9000.0,1869.0,,2004100000,2004100000,2004100000
22447,,5963.0,4830.0,1364.0,,2004100000,2004100000,2004100000
22461,,4984.0,3830.0,945.0,,2023100000,2006100000,2021100000
22462,,531.0,1660.0,290.0,,2004100000,2004100000,2004100000
22481,,4003.0,4310.0,788.0,,2004100000,2004100000,2004100000
22482,,2321.0,1560.0,880.0,,2004100000,2004100000,2004100000
