code,city,pref,total_pop,area_km2,n_stations,pop_density,station_density
14153,相模原市南区,神奈川,281411,38.07713755779513,7,7390.550289471265,0.18383734831367238
11230,新座市,埼玉県,166017,22.770761361045412,2,7290.7970606556,0.08783193360505973
14113,横浜市緑区,神奈川,183082,25.538306866825312,7,7168.916911944017,0.2740980455949144
14114,横浜市瀬谷区,神奈川,122623,17.19260832960733,2,7132.309283683928,0.11632906198158466
12106,千葉市美浜区,千葉県,148944,21.191888304173972,4,7028.3496148223785,0.18875146672097912
13224,多摩市,東京都,146951,21.02644118828927,7,6988.866954900801,0.3329141597151813
14104,横浜市中区,神奈川,151388,21.738853039187298,13,6963.936861208921,0.598007630695405
13212,日野市,東京都,190435,27.522532558509702,12,6919.239702783795,0.43600638765670985
14207,茅ヶ崎市,神奈川,242389,35.69197046972707,3,6791.135283651195,0.08405251827002704
13207,昭島市,東京都,113949,17.36264489639177,3,6562.8825953631285,0.17278473515423026
14115,横浜市栄区,神奈川,120194,18.493524535389323,1,6499.247872951206,0.05407298095538218
14116,横浜市泉区,神奈川,152378,23.536947389695598,9,6473.991613148212,0.3823775382163692
14108,横浜市金沢区,神奈川,198939,30.943681963592,18,6429.066852292157,0.5817019455273166
14205,藤沢市,神奈川,436905,69.61521786586087,20,6275.998458294808,0.2872935058328382
13220,東大和市,東京都,83901,13.398792986315387,4,6261.83269535478,0.29853435336192796
13209,町田市,東京都,431079,71.53537160529949,10,6026.0957666999075,0.1397909841745923
14131,川崎市川崎区,神奈川,232965,39.48226921507507,21,5900.4967199567545,0.5318843221904228
13101,千代田区,東京都,66680,11.447298704526318,54,5824.955015250402,4.717270108331159
11222,越谷市,埼玉県,341621,60.25201203791776,8,5669.868747038876,0.13277564896862606
12220,流山市,千葉県,199849,35.3340071915457,11,5655.995905491792,0.31131481748925294
11235,富士見市,埼玉県,111859,19.78925259546718,3,5652.512618168401,0.15159743833312653
13218,福生市,東京都,56414,10.185696602929937,6,5538.550989607564,0.5890613311880983
13227,羽村市,東京都,54326,9.926226061554274,2,5472.976301679502,0.20148644485806066
11104,さいたま市見沼区,埼玉県,165049,30.599015113147356,3,5393.931778186026,0.09804237126282545
11106,さいたま市桜区,埼玉県,98661,18.60368010706692,1,5303.305552030104,0.05375280558711248
12224,鎌ケ谷市,千葉県,109932,21.09647452008045,8,5210.918056254491,0.3792102795367675
11234,八潮市,埼玉県,93363,17.993252178226218,1,5188.778497362436,0.055576389976355035
13225,稲城市,東京都,93151,17.956606675789953,5,5187.561418583117,0.27844904609629084
12102,千葉市花見川区,千葉県,177328,34.20125215968764,6,5184.839407985568,0.17543217341826112
14215,海老名市,神奈川,136516,26.57174013176651,8,5137.638683918753,0.30107173863393316
11219,上尾市,埼玉県,226940,45.496887042784145,4,4988.033572200033,0.08791810297347374
11109,さいたま市緑区,埼玉県,128321,26.412128710015118,2,4858.411883754846,0.07572278713156609
11208,所沢市,埼玉県,342464,72.06216376534744,11,4752.341341222407,0.15264598542750912
12101,千葉市中央区,千葉県,211736,44.69450411145664,19,4737.405732749259,0.42510819568819624
11237,三郷市,埼玉県,142145,30.07656631330965,3,4726.104653013439,0.09974542867522823
13223,武蔵村山市,東京都,70829,15.371233011032748,0,4607.8931956312335,0.0
14204,鎌倉市,神奈川,172710,39.67540173845056,17,4353.075014552955,0.42847707282381003
11241,鶴ヶ島市,埼玉県,70117,17.638915886585636,2,3975.1309236257457,0.11338565322605776
12221,八千代市,千葉県,199498,51.395062758824956,7,3881.6569003166464,0.13619985314247024
14201,横須賀市,神奈川,388078,100.82050650235392,21,3849.1970876077607,0.20829095913646992
14203,平塚市,神奈川,258422,67.72802113708697,1,3815.5846821056984,0.014764937513469047
14218,綾瀬市,神奈川,83913,22.147179313017922,0,3788.879785277065,0.0
12217,柏市,千葉県,426468,114.73976141513222,11,3716.8283665592157,0.09586912038453382
14321,寒川町,神奈川,48348,13.306443107669862,3,3633.4277769640867,0.22545468956093861
11214,春日部市,埼玉県,229792,65.9858768256292,8,3482.442168757357,0.12123806464132283
14208,逗子市,神奈川,57060,17.27562116480849,4,3302.9203092410216,0.2315401548714351
11233,北本市,埼玉県,65201,19.796223316657706,1,3293.6080259882724,0.050514685756173565
11225,入間市,埼玉県,145651,44.68308907399082,5,3259.6448235442317,0.1118991570103958
11201,川越市,埼玉県,354571,109.19502466351075,12,3247.135124449361,0.10989511689729936
11101,さいたま市西区,埼玉県,93499,29.069440159248256,2,3216.4018119301104,0.06880077459502476
13201,八王子市,東京都,579355,186.34708277752216,23,3109.0103014474657,0.12342559731648421
11301,伊奈町,埼玉県,44841,14.746184811504511,5,3040.8543344049544,0.339070753819602
11215,狭山市,埼玉県,148699,48.94232146730598,4,3038.249832495841,0.08172885715427383
14342,二宮町,神奈川,27564,9.074815975230374,1,3037.4169652845503,0.1101950720245447
12222,我孫子市,千葉県,130510,43.18860175053018,6,3021.862128203719,0.1389255441669015
11231,桶川市,埼玉県,74748,25.340104595515044,1,2949.79050770097,0.039463136240447505
